Name;Department;Link;Label
Saint-Fargeau;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/saint-fargeau;Petite Cité de Caractère
Montréal;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/montreal;Petite Cité de Caractère
Melle;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/melle;Petite Cité de Caractère
Charroux;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/charroux;Petite Cité de Caractère
Bénévent-l'Abbaye;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/benevent-labbaye;Petite Cité de Caractère
Saint-Aulaye-Puymangou;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/saint-aulaye-puymangou;Petite Cité de Caractère
Aubeterre-sur-Dronne;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/aubeterre-sur-dronne;Petite Cité de Caractère
Nanteuil-en-Vallée;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/nanteuil-en-vallee;Petite Cité de Caractère
Verteuil-sur-Charente;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/verteuil-sur-charente;Petite Cité de Caractère
Villebois-Lavalette;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/villebois-lavalette;Petite Cité de Caractère
Saint-Sauvant;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/saint-sauvant;Petite Cité de Caractère
Saint-Savinien-sur-Charente;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/saint-savinien-sur-charente;Petite Cité de Caractère
Airvault;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/airvault;Petite Cité de Caractère
Arçais;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/arcais;Petite Cité de Caractère
Celles-sur-Belle;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/celles-sur-belle;Petite Cité de Caractère
Coulon;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/coulon;Petite Cité de Caractère
La Mothe Saint-Héray;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/la-mothe-saint-heray;Petite Cité de Caractère
Mauléon;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/mauleon;Petite Cité de Caractère
Oiron;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/oiron;Petite Cité de Caractère
Saint-Loup-Lamairé;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/saint-loup-lamaire;Petite Cité de Caractère
Monts-sur-Guesnes;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/monts-sur-guesnes;Petite Cité de Caractère
Confolens;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/confolens;Petite Cité de Caractère
Talmont-sur-Gironde;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/talmont-sur-gironde;Petite Cité de Caractère
Le Dorat;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/le-dorat;Petite Cité de Caractère
Chef-Boutonne;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/chef-boutonne;Petite Cité de Caractère
Treignac;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/treignac;Petite Cité de Caractère
Brantôme-en-Périgord;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/brantome-en-perigord;Petite Cité de Caractère
Château-Larcher;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/chateau-larcher;Petite Cité de Caractère
Excideuil;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/excideuil;Petite Cité de Caractère
Eymoutiers;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/eymoutiers;Petite Cité de Caractère
